Seq	TickMs	DeltaMs	ThreadId	Endpoint	Dir	Bytes	Hex	Ascii	AsciiNote
80	479719437	1937	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
81	479719453	16	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
82	479719453	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
83	479719453	0	34460	192.168.1.74:5025	RX	9	32 37 2E 30 39 32 35 38 33 	27.092583	
84	479721500	2047	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
85	479721500	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
86	479721500	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
87	479721500	0	34460	192.168.1.74:5025	RX	9	32 37 2E 30 35 38 32 38 39 	27.058289	
88	479723453	1953	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
89	479723453	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
90	479723453	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
91	479723453	0	34460	192.168.1.74:5025	RX	9	32 37 2E 30 31 36 30 37 35 	27.016075	
92	479725500	2047	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
93	479725500	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
94	479725515	15	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
95	479725515	0	34460	192.168.1.74:5025	RX	9	32 37 2E 30 30 35 30 30 39 	27.005009	
96	479727453	1938	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
97	479727453	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
98	479727453	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
99	479727453	0	34460	192.168.1.74:5025	RX	9	32 36 2E 39 37 31 35 31 39 	26.971519	
100	479729500	2047	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
101	479729515	15	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
102	479729515	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
103	479729515	0	34460	192.168.1.74:5025	RX	9	32 36 2E 39 32 37 38 31 33 	26.927813	
104	479731453	1938	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
105	479731453	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
106	479731468	15	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
107	479731468	0	34460	192.168.1.74:5025	RX	9	32 36 2E 39 31 37 38 33 39 	26.917839	
108	479733500	2032	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
109	479733515	15	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
110	479733515	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
111	479733515	0	34460	192.168.1.74:5025	RX	9	32 36 2E 39 30 34 32 32 38 	26.904228	
112	479735453	1938	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
113	479735453	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
114	479735468	15	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
115	479735468	0	34460	192.168.1.74:5025	RX	9	32 36 2E 38 36 31 35 31 33 	26.861513	
116	479737500	2032	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
117	479737515	15	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
118	479737515	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
119	479737515	0	34460	192.168.1.74:5025	RX	9	32 36 2E 38 32 38 38 33 31 	26.828831	
120	479739453	1938	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
