Seq	DeltaMs	Endpoint		Dir	Hex	Ascii	AsciiNote
100	0	192.168.1.74:5025	RX	32 34 2E 38 30 38 36 38 35 	24.808685		
101	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
102	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
103	0	192.168.1.74:5025	RX	32 35 2E 30 32 37 31 36 31 	25.027161		
104	0	192.168.1.74:5025	RX	32 35 2E 30 32 37 31 36 31 	25.027161		
105	2063	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
106	0	192.168.1.74:5025	RX	32 35 2E 33 36 30 37 31 38 	25.360718		
107	1937	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
108	110	192.168.1.74:5025	RX	32 35 2E 36 34 37 35 37 39 	25.647579		
109	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
110	0	192.168.1.74:5025	RX	32 35 2E 37 37 30 32 31 30 	25.770210		
111	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
112	0	192.168.1.74:5025	RX	32 35 2E 39 37 34 38 33 33 	25.974833		
113	2031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
114	15	192.168.1.74:5025	RX	32 36 2E 31 34 31 32 33 39 	26.141239		
115	907	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
116	0	192.168.1.74:5025	RX	32 36 2E 31 39 39 31 33 35 	26.199135		
117	15	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
118	0	192.168.1.74:5025	RX	32 36 2E 31 39 39 31 33 35 	26.199135		
119	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
120	0	192.168.1.74:5025	RX	32 36 2E 33 31 37 33 31 32 	26.317312		
121	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
122	0	192.168.1.74:5025	RX	32 36 2E 33 39 37 30 39 31 	26.397091		
123	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
124	0	192.168.1.74:5025	RX	32 36 2E 34 31 37 36 32 34 	26.417624		
125	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
126	0	192.168.1.74:5025	RX	32 36 2E 34 32 38 34 34 30 	26.428440		
127	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
